score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.8259184,1.2964101,5780.0,140.0,2.0,5,1train,3,5,BNCI2014-004,TS+SVM
0.96015626,1.2964101,5780.0,160.0,2.0,5,2train,3,5,BNCI2014-004,TS+SVM
0.945,1.2964101,5780.0,160.0,2.0,5,3test,3,5,BNCI2014-004,TS+SVM
0.83421874,1.2964101,5780.0,160.0,2.0,5,4test,3,5,BNCI2014-004,TS+SVM
0.92333335,1.3203608,5780.0,120.0,2.0,4,0train,3,5,BNCI2014-004,TS+SVM
0.93142855,1.3203608,5780.0,140.0,2.0,4,1train,3,5,BNCI2014-004,TS+SVM
0.99953127,1.3203608,5780.0,160.0,2.0,4,2train,3,5,BNCI2014-004,TS+SVM
0.9976562,1.3203608,5780.0,160.0,2.0,4,3test,3,5,BNCI2014-004,TS+SVM
0.9825,1.3203608,5780.0,160.0,2.0,4,4test,3,5,BNCI2014-004,TS+SVM
0.73388886,1.2967263,5800.0,120.0,2.0,9,0train,3,5,BNCI2014-004,TS+SVM
0.6755555,1.2967263,5800.0,120.0,2.0,9,1train,3,5,BNCI2014-004,TS+SVM
0.91078126,1.2967263,5800.0,160.0,2.0,9,2train,3,5,BNCI2014-004,TS+SVM
0.950625,1.2967263,5800.0,160.0,2.0,9,3test,3,5,BNCI2014-004,TS+SVM
0.88859373,1.2967263,5800.0,160.0,2.0,9,4test,3,5,BNCI2014-004,TS+SVM
0.6561111,1.2551868,5800.0,120.0,2.0,7,0train,3,5,BNCI2014-004,TS+SVM
0.6036111,1.2551868,5800.0,120.0,2.0,7,1train,3,5,BNCI2014-004,TS+SVM
0.88203126,1.2551868,5800.0,160.0,2.0,7,2train,3,5,BNCI2014-004,TS+SVM
0.7579687,1.2551868,5800.0,160.0,2.0,7,3test,3,5,BNCI2014-004,TS+SVM
0.8460938,1.2551868,5800.0,160.0,2.0,7,4test,3,5,BNCI2014-004,TS+SVM
0.8111111,1.2641745,5800.0,120.0,2.0,6,0train,3,5,BNCI2014-004,TS+SVM
0.7216667,1.2641745,5800.0,120.0,2.0,6,1train,3,5,BNCI2014-004,TS+SVM
0.74421877,1.2641745,5800.0,160.0,2.0,6,2train,3,5,BNCI2014-004,TS+SVM
0.86265624,1.2641745,5800.0,160.0,2.0,6,3test,3,5,BNCI2014-004,TS+SVM
0.9039062,1.2641745,5800.0,160.0,2.0,6,4test,3,5,BNCI2014-004,TS+SVM
0.63055557,1.2465982,5800.0,120.0,2.0,3,0train,3,5,BNCI2014-004,TS+SVM
0.6294444,1.2465982,5800.0,120.0,2.0,3,1train,3,5,BNCI2014-004,TS+SVM
0.5346875,1.2465982,5800.0,160.0,2.0,3,2train,3,5,BNCI2014-004,TS+SVM
0.60234374,1.2465982,5800.0,160.0,2.0,3,3test,3,5,BNCI2014-004,TS+SVM
0.6067188,1.2465982,5800.0,160.0,2.0,3,4test,3,5,BNCI2014-004,TS+SVM
0.8769444,1.2595531,5800.0,120.0,2.0,1,0train,3,5,BNCI2014-004,TS+SVM
0.7058333,1.2595531,5800.0,120.0,2.0,1,1train,3,5,BNCI2014-004,TS+SVM
0.84421873,1.2595531,5800.0,160.0,2.0,1,2train,3,5,BNCI2014-004,TS+SVM
0.8879688,1.2595531,5800.0,160.0,2.0,1,3test,3,5,BNCI2014-004,TS+SVM
0.7628125,1.2595531,5800.0,160.0,2.0,1,4test,3,5,BNCI2014-004,TS+SVM
0.6786111,1.3168188,5840.0,120.0,2.0,2,0train,3,5,BNCI2014-004,TS+SVM
0.5202778,1.3168188,5840.0,120.0,2.0,2,1train,3,5,BNCI2014-004,TS+SVM
0.61328125,1.3168188,5840.0,160.0,2.0,2,2train,3,5,BNCI2014-004,TS+SVM
0.6575,1.3168188,5840.0,120.0,2.0,2,3test,3,5,BNCI2014-004,TS+SVM
0.570625,1.3168188,5840.0,160.0,2.0,2,4test,3,5,BNCI2014-004,TS+SVM
0.57367325,32.37656,9280.0,1240.0,2.0,1,0,64,1,Cho2017,MDM
0.58367604,32.45746,9480.0,1040.0,2.0,9,0,64,1,Cho2017,MDM
0.5816753,32.703587,9480.0,1040.0,2.0,7,0,64,1,Cho2017,MDM
0.5776306,32.151955,9320.0,1200.0,2.0,8,0,64,1,Cho2017,MDM
0.52253336,32.367012,9320.0,1200.0,2.0,6,0,64,1,Cho2017,MDM
0.62519443,33.764782,9320.0,1200.0,2.0,5,0,64,1,Cho2017,MDM
0.61378336,32.286053,9320.0,1200.0,2.0,4,0,64,1,Cho2017,MDM
0.71185553,33.179012,9320.0,1200.0,2.0,3,0,64,1,Cho2017,MDM
0.55814445,34.521828,9320.0,1200.0,2.0,2,0,64,1,Cho2017,MDM
0.6460614,114.93946,9280.0,1240.0,2.0,1,0,64,1,Cho2017,TS+SVM
0.6072189,120.924904,9480.0,1040.0,2.0,9,0,64,1,Cho2017,TS+SVM
0.5911354,115.43872,9480.0,1040.0,2.0,7,0,64,1,Cho2017,TS+SVM
0.6458528,109.17928,9320.0,1200.0,2.0,8,0,64,1,Cho2017,TS+SVM
0.57929444,115.3137,9320.0,1200.0,2.0,6,0,64,1,Cho2017,TS+SVM
0.6437778,117.044235,9320.0,1200.0,2.0,5,0,64,1,Cho2017,TS+SVM
0.6383167,114.40747,9320.0,1200.0,2.0,4,0,64,1,Cho2017,TS+SVM
0.7753528,121.11794,9320.0,1200.0,2.0,3,0,64,1,Cho2017,TS+SVM
0.60709447,109.63867,9320.0,1200.0,2.0,2,0,64,1,Cho2017,TS+SVM
0.6555021,8.805814,9280.0,1240.0,2.0,1,0,64,1,Cho2017,CSP+LDA
0.64907545,9.747088,9480.0,1040.0,2.0,9,0,64,1,Cho2017,CSP+LDA
0.5860947,7.0299993,9480.0,1040.0,2.0,7,0,64,1,Cho2017,CSP+LDA
0.6204111,6.883371,9320.0,1200.0,2.0,8,0,64,1,Cho2017,CSP+LDA
0.53090835,7.641078,9320.0,1200.0,2.0,6,0,64,1,Cho2017,CSP+LDA
0.64868057,6.9473295,9320.0,1200.0,2.0,5,0,64,1,Cho2017,CSP+LDA
0.62360835,7.6646233,9320.0,1200.0,2.0,4,0,64,1,Cho2017,CSP+LDA
0.71754444,7.026497,9320.0,1200.0,2.0,3,0,64,1,Cho2017,CSP+LDA
0.6152,7.3106055,9320.0,1200.0,2.0,2,0,64,1,Cho2017,CSP+LDA
0.60326666,15.932868,4800.0,600.0,2.0,9,1,62,2,Lee2019-MI,MDM
0.6558889,15.887118,4800.0,600.0,2.0,8,1,62,2,Lee2019-MI,MDM
0.6404222,15.945293,4800.0,600.0,2.0,7,1,62,2,Lee2019-MI,MDM
0.63321114,15.930078,4800.0,600.0,2.0,6,1,62,2,Lee2019-MI,MDM
